name,mbid
Migos,0221734a-35a8-40f7-b5c5-2f61a200bc7c
Slim Thug,e0f5273c-637e-4e10-8304-81f2f9a31523
Chance the Rapper,373a4c98-a46b-48e4-86ec-f6ca65b4f438
Jay Rock,9880800a-f6f8-4f8f-a00e-b4b664776c0c
Scarface,7d0b6027-8132-4417-8c4c-ef0bbf9161c0
Diddy,cabb4fcf-4067-4ba5-908d-76ee66fcf0c6
Nate Dogg,405528df-2632-4730-80fc-83e775a97651
M.O.P.,dbe35fab-1b3a-469b-87f0-6a54ef8de3c4
AZ,0506bf37-90d7-4654-9585-b4800dc945d5
Joey Bada$$,9757ae7d-44b1-4d63-81ce-b463fe27b9ae
UGK,9603810b-5d6d-41a6-aca8-330ef966d55c
Beanie Sigel,b544133a-b262-451e-84b6-7bea2e61ce60
Pharoahe Monch,a4d62ced-2f87-488a-9c76-ab88ea7a2cbf
Guru,215c6ab2-7888-4061-bd56-9fb650328106
Maino,2c2cc2fe-0dcf-4995-8199-91fd5f159323
Lil‚Ä?Flip,981d39fc-bd00-4cc6-ac67-6410f8b89098
George Jones,f2903be0-79a7-4334-8cc5-e45309482a97
Nipsey Hussle,410bbb19-8309-4a0b-9f87-3d65bde4a826
A$AP Ferg,8ab5d936-49d1-415e-92c8-151e0e7dd912
Kris Kristofferson,cb1ca13a-4821-4e66-aff0-0fd6b3dc9a81
Paul Wall,505cc7ac-b92c-46dd-94f2-e22b18fdcf57
Pete Rock,39a973f2-0785-4ef6-90d9-551378864f89
Young Thug,800760de-bdf8-43a2-8fe0-44a2401a5515
Tony Yayo,45d21b70-e139-4ff9-b487-3c003fa7af0b
Too $hort,8e0fe7bd-bd17-4d25-9b68-1e6a60705477
Mase,76716b81-e361-427e-a931-19373388387d
Action Bronson,031bc934-28c9-491a-8648-c078450187dc
E‚Ä?0,a449973b-074b-4cf0-a4d6-f11fa2d1073f
Freddie Gibbs,21645c31-fe1c-45a4-955c-3e172b12c3f9
Kurupt,9034f787-3e79-44fe-89c1-8a082d556eec
Big Daddy Kane,8e75d270-4d53-4a4a-bc14-e3ace37ebd4e
Styles P,6c81c5d0-5159-4be8-b774-aa8397ed5a93
Killer Mike,47864525-aea7-439a-800f-17c57e51cbcc
Trina,8a07d810-3d55-4426-a1f6-55f0a68f1dc6
Lil Scrappy,77fafce8-a32f-4d42-bdce-266bbf913cee
Mystikal,1cfe52d7-181a-4b3a-8041-d8bf9ccef57b
Freeway,5d008bf9-2958-4640-a5de-dcdcebe711a4
Project Pat,8b8985eb-f71f-4229-9f11-171a7aac98c1
Blu,dc1610f0-2838-46cb-98d7-9b6b073a7408
Raheem DeVaughn,103d9720-942a-4400-8c3b-3eaf76852a2c
Michael McDonald,cacbe57b-02d0-4d21-be86-c8a3a5ea6e1e
Keb‚Ä?Mo‚Ä?57,
N.O.R.E.,812d3015-2f4c-4fa7-bd7d-30ec4beb2c82
Foxy Brown,9a0038da-314c-4cfa-a320-9a620d20cf34
Bilal,260097c7-d628-4a3f-966f-956ea430c0d8
8Ball & MJG,6d2865a5-2115-4c83-9146-8a6f9a654d5a
Trae,bec5d16d-63f3-4bfe-92c6-1c4e3ac502ad
Kool G Rap,852665bd-7089-4119-a77d-251162346b4c
Memphis Bleek,48db8d53-98c7-4ec8-8d49-00a89ebad8d4
DJ Drama,de23d637-20df-4b15-ae63-263dd5a34f10
Ice‚ÄêT,8a75ce0d-1df3-47cc-b076-ce2f4e8250f0
Andr√© 3000,f563a1a9-069b-41ed-8b3b-e1b1a6f5b34b
B.G.,435837d0-9896-48f1-a80f-66579628ca06
Pimp C,03f77665-e514-49c1-b398-067c3e3e51e0
Saigon,5251b5a0-3e3b-4d07-a152-585009575310
Swizz Beatz,698ff525-ff51-4206-8f08-60a7458aab24
Queen Latifah,7a305f29-539a-456e-93b7-61b0e2ba3ef2
Devin the Dude,b4e1a0b3-af92-4a4b-8f44-9633f59f7138
Travis Barker,3aebd566-7ff8-4b29-b017-051b6ec55861
Papoose,0328f44f-8519-4e3b-b6c5-019591751e4e
Master P,a5bd836d-8d8f-48a5-b0b7-dbb18b3264dd
Mack 10,c3b4e25b-977f-4cb6-96d7-f68afbac732f
DJ Premier,084e06f5-3c82-4b71-bd94-dd69e7bd515e
Lil Yachty,a668565b-41b8-44a8-9d5c-8e609dbf69fc
