mbid,listeners_lastfm
4d7304f6-7fe3-4959-9d98-01a5af84afe6,1385307
e54be6b7-5c26-4b47-bb3f-c137429b9b55,1381284
59a7fbcb-ff74-494d-abd0-9c82359040c9,1380716
75af9d25-cf32-49c0-9192-60bd8e9784e6,1375584
07e748f1-075e-428d-85dc-ce3be434e906,1373554
4d7928cd-7ed2-4282-8c29-c0c9f966f1bd,1371134
57e79d57-b795-475e-9fa2-5dd9d5513b8c,1368970
bdacc37b-8633-4bf8-9dd5-4662ee651aec,1368405
3fb49f5a-fdc0-4789-9c84-22b38b3f3cb5,1367656
a9ee533f-8871-4f62-a6bb-91eb264abc90,1367536
0af78501-5647-4c18-9a0d-66ac8789e13b,1367043
10a9ff92-9637-4498-afea-7044b2ab0dc0,1355960
0741b30d-e15b-4a8c-b2e5-8834a03d6116,1349181
87a73cf0-ebdf-483d-8b5a-3db1e5e72122,1331799
c0a1179b-b14a-4d68-a3c1-1fdab16ed602,1330439
05517043-ff78-4988-9c22-88c68588ebb9,1324682
1582a5b8-538e-45e7-9ae4-4099439a0e79,1322741
9689aa5a-4471-4fb4-9721-07cecda0fa9f,1317466
9e53f84d-ef44-4c16-9677-5fd4d78cbd7d,1316975
1c3919b2-43ca-4a4a-935d-9d50135ec0ef,1309873
db76c5ca-d555-4f09-b1db-baa1b713d875,1309603
160629ab-ec18-4931-8c95-02cb92d06186,1303665
fb7272ba-f130-4f0a-934d-6eeea4c18c9a,1298715
0c751690-c784-4a4f-b1e4-c1de27d47581,1297506
efa2c11a-1a35-4b60-bc1b-66d37de88511,1293042
faf4cefb-036c-4c88-b93a-5b03dd0a0e6b,1290751
c0b2500e-0cef-4130-869d-732b23ed9df5,1285209
0d8b0d50-e4cf-4da4-965d-f24c58ec3268,1283948
6be2828f-6c0d-4059-99d4-fa18acf1a296,1283129
1239d1bc-cc09-43e0-bcd0-374f60346138,1279412
a506f761-2c22-4b2f-8a94-bd748c2c8f75,1275226
debabff3-2559-46e5-862d-ef2a906d7010,1275042
5e6c760b-42e0-4df4-a221-0269355da00a,1271988
ed5d9086-e8cd-473a-b96c-d81ad6c98f0d,1271545
36494952-f434-45d8-a958-8b4acdbcf8a8,1271505
c995a379-60b9-404b-bd97-a7e2de0751d3,1267552
e132d370-2a59-4437-8610-756df28a5a02,1264482
be407b02-f3e6-4ed5-9489-f8e5f0ab36dc,1264417
d8df96ae-8fcf-4997-b3e6-e5d1aaf0f69e,1257243
80ccfede-c258-4575-a7ad-c982e9932e0f,1252578
350bce49-c21b-4137-b50a-0766ded07e4d,1251465
149f91ef-1287-46da-9a8e-87fee02f1471,1248003
32b90c92-9978-4a07-90eb-caa4b22f4907,1245106
b15ebd71-a252-417d-9e1c-3e6863da68f8,1243564
136c4166-85b3-4994-aa04-59857c434199,1243493
8262d8e4-9137-4bb3-a787-3caabbbc13e9,1242321
e1564e98-978b-4947-8698-f6fd6f8b0181,1238296
9386b36e-87f3-4716-a219-79a07a4e29cc,1235113
4236d929-9a81-4c8e-97c3-8d3306780f50,1234300
9311e2bc-bb3f-44cf-90d8-b1fe6912b60b,1232478
62162215-b023-4f0e-84bd-1e9412d5b32c,1226580
b41b38d4-ef3e-4f37-8c75-cfe9af999696,1222135
f4d4b515-0b74-423f-a161-db184330c37c,1221125
fd1a2d9d-9bb6-44de-83a3-41560658aba9,1220947
ea321799-9b1d-4e74-a074-a5facf597d82,1220422
a0b8cb9e-7532-45fe-a74c-30e7c4009a39,1218650
16a43d5e-c52d-4eaa-9c3b-00b2c1d8e816,1217649
9ab19acf-06d9-4c92-bd5a-8c945488d45b,1217647
50549203-9602-451c-b49f-ff031ba8635c,1215151
944e1036-8a03-4611-8aa0-31515a05c848,1214675
081b133e-ce74-42ba-92c1-c18234acb532,1211150
d5cc67b8-1cc4-453b-96e8-44487acdebea,1210107
db008806-16f6-48fc-8521-3d953709689d,1209846
8295ee00-0096-461d-95c7-c2263d2a4c6d,1209750
e520459c-dff4-491d-a6e4-c97be35e0044,1205614
d59c4cda-11d9-48db-8bfe-b557ee602aed,1203493
53b106e7-0cc6-42cc-ac95-ed8d30a3a98e,1203493
d08ce74d-f303-4311-9204-17805d494300,1203493
fb9719bf-c477-4223-b319-986eb4168a91,1203493
47a7bb01-92cb-4999-9886-117a7c3f76a6,1203493
c80f38a6-9980-485d-997c-5c1a9cbd0d64,1194703
4236acde-2ce2-441c-a3d4-38d55f1b5474,1194443
535afeda-2538-435d-9dd1-5e10be586774,1193623
b76c616a-ec0d-4f0c-b986-f249c4a04d77,1189883
21e3292e-dac8-4609-b57d-402f926aa41f,1172901
5f572b31-8fd9-45ae-9beb-358c98d839df,1172561
92a42e82-b36f-4308-82c1-68bad2e03c89,1170970
99790314-885a-4975-8614-9c5bc890364d,1170503
69689acf-d9cd-4d20-a972-47db4ed51b1a,1167538
7e30debb-3308-49ab-a5ac-6d49319a5705,1166768
f93dbc64-6f08-4033-bcc7-8a0bb4689849,1164256
adc0f033-95c2-4e0b-87bc-c23ed3f26ce6,1163109
081a2d60-9791-4e05-a075-f1890355eeee,1160535
4a069029-4f64-4946-b650-01aeb0b55d9d,1153106
8ac9e35c-e92d-4030-99ef-ba4127b1555c,1152938
2819834e-4e08-47b0-a2c4-b7672318e8f0,1148899
31bea673-d23a-4889-8da1-7cb040863268,1144591
b5c4ffa2-82e1-4b72-b7f3-c60afb74b860,1143724
1129817c-488a-4096-80c1-77fc1b107c93,1143047
d574c9bd-46f6-440a-8d6a-8412a283eeb1,1139803
ff460a70-fdf4-4aa2-b021-8a04da76d88e,1136337
ddfd9b2f-186e-4b2c-ad09-01aa5380c225,1133258
149e6720-4e4a-41a4-afca-6d29083fc091,1125107
ff294730-0315-440d-a543-54005779c15b,1120194
c7423e0c-ab3e-4ab4-be10-cdff5a9d3062,1117882
3f2a12e9-6398-42fd-b257-2f6abd4aa5fc,1116874
97b226c8-7140-4da3-91ac-15e62e131a81,1115213
12ff8858-bfcb-4812-a8dd-7e9debf0cbee,1113834
8475297d-fb78-4630-8d74-9b87b6bb7cc8,1113103
bfcc6d75-a6a5-4bc6-8282-47aec8531818,1109712
bfcb6630-9b31-4e63-b11f-7b0363be72b5,1108338
8ac6cc32-8ddf-43b1-9ac4-4b04f9053176,1102089
